Date,Close/Last,Volume,Open,High,Low
03/08/2022,31.16,68456460,29.67,34.34,28.48
03/07/2022,29.58,50665840,34.82,35.6,29.5
03/04/2022,34.77,47006010,36.63,37.42,33.36
03/03/2022,37.55,45902800,40.65,40.8699,36.82
03/02/2022,40.12,41485360,37.47,40.88,37.23
03/01/2022,36.58,46635010,40.78,41.3,35.35
02/28/2022,41.01,43350650,40.2,42.23,38.56
02/25/2022,41.78,40948960,40,41.84,38.16
02/24/2022,39.94,68362140,31.81,40.05,31.55
02/23/2022,35.91,52830570,40.068,41.3,35.63
02/22/2022,38.61,49765570,38.23,41.56,36.83
02/18/2022,39.63,46904090,41.14,41.349,37.77
02/17/2022,40.87,41858900,44.12,44.39,40.67
02/16/2022,46.1,35357630,44.07,46.5,43.04
02/15/2022,46.01,40132270,41.9,46.29,41.67
02/14/2022,39.59,43218360,39.75,41.85,37.86
02/11/2022,39.54,51212760,46.56,47.65,38.42
02/10/2022,46.42,51371000,47.58,52.21,45.5798
02/09/2022,51.02,35302830,48.43,51.23,46.71
02/08/2022,46.6,33686780,42.75,46.88,42.54
02/07/2022,43.41,28382030,43.64,45.52,42.86
02/04/2022,43.46,30575590,42.08,44.5201,40.37
02/03/2022,42.63,32875330,45.58,47.8,42.15
02/02/2022,49.34,40548640,48.47,49.5,46.46
02/01/2022,45.91,37795570,45.89,46.1,42.29
01/31/2022,44.58,39362540,38.99,44.75,38.3
01/28/2022,38.41,43946680,36.37,38.41,33.095
01/27/2022,36.36,50033700,43.4,43.45,36
01/26/2022,42.12,46405010,43.78,47.1,40.105
01/25/2022,40.19,40326260,41.77,43.35,39.38
01/24/2022,45.45,53719180,41,45.48,36.6179
01/21/2022,43.71,45826470,45.22,48.93,43.4
01/20/2022,45.99,32438820,52.12,53.2,45.81
01/19/2022,50.82,28683330,57.48,58.155,50.73
01/18/2022,55.98,29173880,60.91,61.38,55.5
01/14/2022,64.48,23880610,58.76,64.54,58.56
01/13/2022,60.2,28866550,67.5,69.18,59.58
01/12/2022,64.58,19392040,64.99,66.4,62.64
01/11/2022,63.29,22053890,59.09,63.44,57.88
01/10/2022,60,25112690,57.34,60.19,53.82
01/07/2022,59.74,22625850,65.08,66.05,59.14
01/06/2022,65.54,19343140,64.09,66.39,61.85
01/05/2022,64.01,20820970,69.588,71.42,63.94
01/04/2022,71.07,21988050,72.58,74.21,66.04
01/03/2022,72.1,15794750,69.05,72.11,68.3883
12/31/2021,68.01,10151970,68.7,70.1,67.83
12/30/2021,68.36,11188250,70.5,71.34,67.89
12/29/2021,71,10702010,70.42,72.23,69.6
12/28/2021,70.52,14401780,74.07,74.07,69.57
12/27/2021,72.99,15597980,68.104,73,68
12/23/2021,67.41,14506960,66,68.75,65.92
12/22/2021,65.38,13011600,62.47,65.53,61.61
12/21/2021,63.5,20477000,61.17,63.685,58.77
12/20/2021,57.55,15681400,56.14,58.76,55.47
12/17/2021,58.96,17754370,57.34,61.58,56.86
12/16/2021,59.23,27692100,69.01,69.5,58.02
12/15/2021,68.12,19005700,61.84,68.34,59.24
12/14/2021,61.52,13311180,60,62.37,58.94
12/13/2021,62.34,13561550,68.024,68.71,62
12/10/2021,67.6,12329110,69.456,70.45,65.17
12/09/2021,65.9,14532970,69.43,71.59,65.66
12/08/2021,70.69,12500690,70.93,71.2,68.49
12/07/2021,71.99,21654540,66.76,72.52,66.72
12/06/2021,62.6,13816270,62.06,63.29,56.78
12/03/2021,62.93,18842770,65.9,67.95,60.7
12/02/2021,63.25,21014160,61.26,64.74,59.68
12/01/2021,63.16,24886990,67.54,70.96,63.05
11/30/2021,64.67,22246310,67.28,69.34,62.89
11/29/2021,68.41,18352680,63.95,68.68,63.22
11/26/2021,61.37,14919710,63.1,64.98,59.85
11/24/2021,66.88,14762210,62.99,66.9,61.21
11/23/2021,64.74,16233690,64.83,66.61,61.3501
11/22/2021,65.43,16809790,69.54,72.4871,65.23
11/19/2021,68.61,14527380,67.86,69.8671,66.8784
11/18/2021,67.98,14102710,67.87,68.9,66.03
11/17/2021,64.52,11636620,66,66.13,63.6997
11/16/2021,66.15,12692960,62.38,66.43,62.01
11/15/2021,63.2,11837450,64.73,64.74,61.26
11/12/2021,63.35,13052660,62.22,64.25,61.1708
11/11/2021,61.64,13055700,60.72,61.9916,59.37
11/10/2021,57.95,17648250,60.05,62.5,57.0699
